Year,Eating
1935,8.63
1936,6.71
1937,7.15
1938,8.00
1939,8.57
1940,9.05
1941,9.53
1942,9.07
1943,9.48
1944,9.96
1945,11.34
1946,13.63
1947,14.08
1948,16.48
1949,17.58
1950,22.16
1951,25.66
1952,27.67
1953,27.61
1954,29.06
1955,32.52
1956,34.15
1957,34.99
1958,40.72
1959,41.31
1960,42.93
1961,46.67
1962,48.43
1963,48.91
1964,50.34
1965,50.95
1966,51.99
1967,52.44
1968,54.72
1969,57.64
1970,60.18
1971,60.64
1972,63.98
1973,68.51
1974,74.82
1975,78.83
1976,85.21
1977,93.82
1978,106.07
1979,116.14
1980,123.80
1981,132.72
1982,146.11
1983,162.78
1984,179.65
1985,191.43
1986,199.99
1987,210.27
1988,222.85
1989,232.99
1990,241.64
1991,254.38
1992,270.33
1993,288.69
1994,312.91
1995,326.94
1996,330.25
1997,338.02
1998,350.67
1999,357.07
2000,371.66
2001,384.69
2002,393.47
2003,411.15
2004,428.74
2005,450.61
2006,471.54
2007,486.67
2008,505.50
2009,530.11
2010,548.37
2011,575.15
2012,602.18
2013,601.40
2014,615.79
